Raman Shift ; Raw Data #1
400.0000;19576.7000
401.0000;19461.0200
402.0000;19383.5400
403.0000;19399.8200
404.0000;19444.2000
405.0000;19402.9800
406.0000;19315.1200
407.0000;19238.7800
408.0000;19191.5800
409.0000;19142.1900
410.0000;19084.1700
411.0000;19043.0600
412.0000;19026.2900
413.0000;19022.7900
414.0000;18979.2200
415.0000;18910.5400
416.0000;18841.6900
417.0000;18788.1200
418.0000;18727.2500
419.0000;18638.5800
420.0000;18580.7800
421.0000;18587.1300
422.0000;18627.5600
423.0000;18585.8300
424.0000;18473.8000
425.0000;18395.1200
426.0000;18397.8300
427.0000;18403.6000
428.0000;18343.0000
429.0000;18260.8800
430.0000;18178.8300
431.0000;18113.1200
432.0000;18045.2700
433.0000;17991.2900
434.0000;17959.9500
435.0000;17952.4800
436.0000;17956.6600
437.0000;17937.5300
438.0000;17915.2000
439.0000;17897.8100
440.0000;17884.9800
441.0000;17858.3000
442.0000;17818.3600
443.0000;17781.9300
444.0000;17764.0800
445.0000;17742.6100
446.0000;17672.2000
447.0000;17603.8000
448.0000;17579.5600
449.0000;17614.0600
450.0000;17663.5000
451.0000;17712.7900
452.0000;17774.1600
453.0000;17854.8300
454.0000;17911.3200
455.0000;17920.5000
456.0000;17886.6100
457.0000;17872.0000
458.0000;17877.3100
459.0000;17874.0300
460.0000;17855.6500
461.0000;17863.4200
462.0000;17925.3600
463.0000;18003.7700
464.0000;18064.0500
465.0000;18090.0900
466.0000;18092.0800
467.0000;18066.4100
468.0000;18049.7600
469.0000;18059.6200
470.0000;18070.3800
471.0000;18056.6600
472.0000;18053.9700
473.0000;18113.4000
474.0000;18187.2900
475.0000;18180.4800
476.0000;18095.9000
477.0000;18072.0600
478.0000;18174.0600
479.0000;18266.9100
480.0000;18235.4000
481.0000;18185.6800
482.0000;18263.7400
483.0000;18395.9000
484.0000;18454.7000
485.0000;18415.0000
486.0000;18373.0200
487.0000;18369.7800
488.0000;18373.2300
489.0000;18366.7200
490.0000;18371.6100
491.0000;18409.4100
492.0000;18456.7800
493.0000;18467.9700
494.0000;18435.8100
495.0000;18398.9000
496.0000;18375.9600
497.0000;18372.4200
498.0000;18402.4500
499.0000;18427.1900
500.0000;18387.8700
501.0000;18317.2900
502.0000;18284.8300
503.0000;18287.8100
504.0000;18231.0600
505.0000;18091.7200
506.0000;17998.9200
507.0000;18031.8200
508.0000;18126.3800
509.0000;18193.5400
510.0000;18216.5500
511.0000;18164.3300
512.0000;18047.1900
513.0000;17959.4500
514.0000;17939.7100
515.0000;17929.4000
516.0000;17892.3100
517.0000;17869.0000
518.0000;17862.7100
519.0000;17883.3100
520.0000;17928.0900
521.0000;17974.7600
522.0000;17967.5500
523.0000;17899.8300
524.0000;17844.2700
525.0000;17846.1100
526.0000;17871.5800
527.0000;17881.1500
528.0000;17904.1200
529.0000;17967.4700
530.0000;18037.8200
531.0000;18055.3000
532.0000;18011.3400
533.0000;17982.6200
534.0000;18000.9000
535.0000;18029.3100
536.0000;18052.1700
537.0000;18050.5300
538.0000;18008.2700
539.0000;17936.2900
540.0000;17870.9200
541.0000;17816.0300
542.0000;17730.4900
543.0000;17622.9400
544.0000;17528.5400
545.0000;17467.6200
546.0000;17438.6900
547.0000;17404.8800
548.0000;17390.3200
